Collections Similarity Summary (Weighted by Average Confidence)
======================================================================================================================================================
Total Collections Summarized: 1105

Collection Name                Avg Similarity       Total Confidence   High (>=0.90) Weight (%)       Medium (0.70-0.89) Weight (%)  Low (0.50-0.69) Weight (%)     Very Low (<0.50) Weight (%)   
gazetadopovo-2023              0.9260               879.5496           85.58                          11.25                          1.10                           2.07                          
semafor-2023                   0.9259               628.0071           77.48                          18.10                          4.42                           0.00                          
ljworld-2023                   0.9251               592.3432           85.65                          3.15                           4.60                           6.60                          
dagsavisen-2023                0.9246               1068.1182          79.47                          16.93                          2.12                           1.48                          
albany_herald-2023             0.9229               1447.4951          81.74                          9.23                           4.01                           5.02                          
lehuffpost-2023                0.9214               924.3182           82.51                          15.98                          0.00                           1.51                          
enews-2023                     0.9178               756.3784           79.15                          14.94                          0.20                           5.70                          
rfi-2023                       0.9174               867.6830           86.80                          7.83                           0.63                           4.75                          
aldotcom-2023                  0.9170               1082.5170          81.86                          12.01                          2.92                           3.21                          
foxnews-2023                   0.9169               2378.1968          78.61                          18.54                          0.81                           2.04                          
revistaistoe-2023              0.9165               910.5186           77.17                          18.31                          3.56                           0.96                          
abc7breaking-2023              0.9160               864.9398           75.15                          15.87                          6.28                           2.71                          
seattletimes-2023              0.9154               1312.5224          69.73                          25.80                          0.27                           4.20                          
reforma-2023                   0.9147               827.2799           70.65                          25.93                          2.73                           0.69                          
florida_bulldog-2023           0.9124               168.9009           75.72                          15.49                          2.23                           6.56                          
phillytrib-2023                0.9110               1094.0895          81.35                          8.76                           0.93                           8.95                          
independent_ie-2023            0.9097               1199.0548          75.75                          20.66                          0.22                           3.36                          
justthenews-2023               0.9094               1443.4856          66.07                          32.96                          0.29                           0.68                          
ctvnews-2023                   0.9094               1287.2114          73.96                          20.30                          1.26                           4.48                          
bfmtv-2023                     0.9091               1983.9685          79.07                          11.07                          7.46                           2.40                          
maroelamedia-2023              0.9086               641.0551           85.13                          5.87                           0.06                           8.94                          
nytimes-2023                   0.9086               2136.9406          77.84                          14.13                          3.84                           4.19                          
correio-2023                   0.9053               1236.5325          74.47                          20.97                          2.28                           2.28                          
torontostar-2023               0.9050               1042.5132          79.52                          14.55                          0.72                           5.21                          
thescotsman-2023               0.9037               1147.1914          69.48                          29.24                          0.09                           1.18                          
realdailywire-2023             0.9026               357.2861           74.59                          18.21                          3.69                           3.51                          
vvdailypress-2023              0.9016               385.7069           62.67                          37.33                          0.00                           0.00                          
qz-2023                        0.9015               801.1264           67.17                          26.30                          2.57                           3.96                          
ycitynewsonline-2023           0.9014               299.5888           84.19                          4.07                           0.00                           11.74                         
cbcnews-2023                   0.8997               972.4600           63.78                          32.34                          0.87                           3.02                          
lex18news-2023                 0.8996               465.7444           57.49                          42.51                          0.00                           0.00                          
georgiastraight-2023           0.8992               708.3987           71.93                          24.35                          0.05                           3.68                          
ajc-2023                       0.8982               1159.7947          72.70                          19.48                          2.86                           4.97                          
uolnoticias-2023               0.8982               959.9761           70.72                          22.29                          1.40                           5.59                          
thelasentinel-2023             0.8976               1248.0968          66.33                          24.97                          5.45                           3.24                          
themessenger-2023              0.8975               862.3659           71.63                          19.61                          4.80                           3.96                          
abc15-2023                     0.8974               637.7520           55.13                          44.52                          0.09                           0.26                          
3newsnowomaha-2023             0.8970               651.1676           67.89                          29.53                          0.97                           1.61                          
tucsonstar-2023                0.8958               608.4044           64.64                          24.47                          7.23                           3.66                          
dailykos-2023                  0.8954               1400.0086          62.98                          34.44                          0.72                           1.86                          
ocregister-2023                0.8947               895.2550           72.27                          13.69                          9.11                           4.93                          
spokesmanreview-2023           0.8945               683.0167           69.89                          25.13                          0.56                           4.41                          
kitv4-2023                     0.8942               747.8035           69.21                          19.96                          4.88                           5.94                          
thebabylonbee-2023             0.8938               676.4276           69.22                          22.93                          5.74                           2.11                          
coloradosun-2023               0.8938               1154.6188          62.76                          31.25                          2.43                           3.56                          
denverpost-2023                0.8938               915.9218           71.71                          14.68                          7.05                           6.56                          
bostonherald-2023              0.8933               801.1353           79.31                          7.43                           5.06                           8.19                          
spectrumnews-2023              0.8932               282.2955           44.71                          54.76                          0.27                           0.26                          
galvnews-2023                  0.8931               919.2919           81.74                          3.73                           3.46                           11.08                         
dailymirror-2023               0.8931               2279.2576          61.57                          36.55                          0.54                           1.33                          
denverchannel-2023             0.8929               655.5884           60.82                          37.35                          0.85                           0.98                          
iol-2023                       0.8917               762.4337           78.82                          12.00                          2.03                           7.15                          
salnews-2023                   0.8917               277.8073           53.90                          43.34                          2.49                           0.27                          
insideclimate-2023             0.8916               441.5745           74.18                          15.70                          2.88                           7.23                          
mtshastanews-2023              0.8915               389.3132           51.71                          45.96                          2.11                           0.21                          
sdut-2023                      0.8913               1699.6185          67.02                          22.16                          5.19                           5.63                          
cnnbrasil-2023                 0.8898               1344.4640          67.01                          25.70                          4.19                           3.11                          
oklahomawatch-2023             0.8897               347.9858           67.72                          24.35                          0.74                           7.18                          
opovo-2023                     0.8892               781.8578           66.84                          26.49                          1.04                           5.63                          
goupstate-2023                 0.8886               313.3688           48.30                          51.20                          0.51                           0.00                          
pioneerpress-2023              0.8883               900.2951           73.58                          10.97                          8.98                           6.47                          
blueridgenow-2023              0.8882               352.1728           54.70                          44.90                          0.23                           0.16                          
rawstory-2023                  0.8878               571.5258           80.27                          5.34                           4.06                           10.34                         
latimes-2023                   0.8877               1483.0845          68.54                          19.02                          6.04                           6.40                          
telegraphherald-2023           0.8869               817.3755           61.32                          30.52                          3.01                           5.15                          
pressenterprise-2023           0.8867               862.0437           73.48                          11.44                          6.17                           8.91                          
gwinnettdaily-2023             0.8862               1360.6107          71.52                          13.64                          8.24                           6.60                          
weeklycitizen-2023             0.8858               240.8675           48.18                          50.16                          1.33                           0.33                          
kvoa-2023                      0.8855               682.1484           66.12                          24.35                          1.99                           7.54                          
hburgamerican-2023             0.8851               281.4416           45.38                          53.82                          0.46                           0.34                          
theblaze-2023                  0.8849               729.1507           55.07                          38.28                          5.00                           1.65                          
enca-2023                      0.8849               252.1952           68.64                          23.50                          2.94                           4.92                          
pekindailytimes-2023           0.8847               328.9170           47.35                          50.14                          2.51                           0.00                          
zerohora-2023                  0.8847               1202.3449          79.52                          9.39                           4.53                           6.55                          
blufftontoday-2023             0.8842               332.6401           56.03                          41.40                          0.76                           1.82                          
siskiyou_daily-2023            0.8836               394.9702           57.06                          38.59                          1.81                           2.54                          
dvillechief-2023               0.8827               238.8364           47.33                          50.01                          2.32                           0.34                          
news_letter-2023               0.8826               1711.9529          54.88                          43.05                          1.23                           0.84                          
uticaod-2023                   0.8824               391.6455           49.13                          48.27                          2.60                           0.00                          
cronistacom-2023               0.8820               1489.6353          53.32                          41.83                          2.08                           2.77                          
the_daily_world-2023           0.8817               270.7719           43.24                          55.17                          1.29                           0.30                          
progressindex-2023             0.8814               409.9589           54.64                          41.59                          1.23                           2.55                          
greenvillenews-2023            0.8814               269.7198           45.29                          52.48                          2.17                           0.06                          
theadvertiser-2023             0.8813               311.1577           45.35                          49.78                          4.87                           0.00                          
khnews-2023                    0.8807               664.6175           72.64                          14.80                          2.27                           10.29                         
vtdnews-2023                   0.8799               313.4492           47.89                          50.70                          1.14                           0.26                          
sctimes-2023                   0.8796               360.2907           53.94                          41.59                          4.26                           0.20                          
spacenews_inc-2023             0.8795               251.2340           59.20                          34.45                          1.06                           5.29                          
postandcourier-2023            0.8794               1150.1472          70.42                          15.98                          4.23                           9.37                          
galesburg-2023                 0.8794               409.8411           58.89                          38.10                          0.40                           2.60                          
mddailyrecord-2023             0.8788               1134.1046          77.25                          5.43                           1.74                           15.59                         
1newsnz-2023                   0.8786               1012.2156          48.54                          47.47                          1.36                           2.63                          
lobs-2023                      0.8783               1806.1092          61.86                          31.08                          3.05                           4.01                          
20minutes-2023                 0.8780               1428.1834          41.18                          56.37                          1.83                           0.62                          
gizmodo-2023                   0.8780               1257.6993          57.84                          32.09                          5.76                           4.32                          
abc-2023                       0.8777               1217.6349          72.10                          9.16                           9.76                           8.98                          
timesrecord-2023               0.8764               392.8975           48.20                          49.10                          2.39                           0.31                          
nypost-2023                    0.8757               2103.1639          63.80                          24.82                          5.49                           5.89                          
times_mail-2023                0.8752               382.8826           45.52                          52.61                          1.70                           0.17                          
pjstar-2023                    0.8750               396.1491           35.02                          62.08                          2.90                           0.00                          
chieftainnews-2023             0.8748               358.6339           36.64                          61.65                          1.71                           0.00                          
news24-2023                    0.8747               2043.1187          66.83                          20.12                          5.06                           7.99                          
salinajournal-2023             0.8743               325.9408           38.84                          59.76                          1.40                           0.00                          
tci_newsroom-2023              0.8743               358.3690           38.28                          60.69                          0.80                           0.23                          
ruidosonews-2023               0.8741               304.2055           74.11                          17.88                          1.37                           6.65                          
thesun-2023                    0.8739               1511.9555          56.46                          37.40                          2.40                           3.73                          
breitbartnews-2023             0.8738               1255.3397          78.97                          9.24                           0.75                           11.05                         
thenewsstar-2023               0.8734               279.0877           42.81                          53.90                          2.99                           0.29                          
laprensaar-2023                0.8725               1098.1795          70.55                          16.05                          5.58                           7.82                          
dailycamera-2023               0.8724               849.3915           73.02                          9.17                           5.77                           12.04                         
courier_tribune-2023           0.8724               350.9907           41.07                          55.92                          3.01                           0.00                          
nextcityorg-2023               0.8724               457.0550           63.58                          21.26                          5.96                           9.20                          
wdrbnews-2023                  0.8717               782.5851           30.57                          65.27                          1.33                           2.82                          
msfreepress-2023               0.8714               542.5993           50.34                          44.86                          2.31                           2.49                          
mmfa-2023                      0.8711               575.1228           63.67                          28.94                          0.00                           7.39                          
dailyjeff-2023                 0.8706               389.0473           46.52                          51.21                          0.45                           1.82                          
gftribune-2023                 0.8706               369.9497           53.08                          43.54                          0.95                           2.44                          
nettavisen-2023                0.8706               1150.2883          55.78                          37.84                          3.36                           3.03                          
asheville-2023                 0.8705               275.5471           36.79                          60.35                          2.86                           0.00                          
scsentinel-2023                0.8700               885.4426           71.49                          11.73                          5.94                           10.84                         
novayagazeta_eu-2023           0.8687               650.0334           30.25                          67.57                          0.79                           1.39                          
people-2023                    0.8687               1057.8419          53.79                          38.08                          2.78                           5.35                          
springfieldnl-2023             0.8686               280.6200           39.85                          58.22                          1.94                           0.00                          
mercnews-2023                  0.8686               902.3082           69.23                          13.60                          8.34                           8.82                          
pittsburghpg-2023              0.8684               2904.3038          39.31                          54.44                          3.93                           2.32                          
inthesetimesmag-2023           0.8676               282.4521           77.51                          7.87                           3.05                           11.57                         
wbur-2023                      0.8673               640.8901           55.02                          36.11                          4.09                           4.78                          
news12nj-2023                  0.8672               465.3243           65.20                          24.96                          5.33                           4.51                          
wplglocal10-2023               0.8670               1093.7407          48.85                          44.43                          4.07                           2.65                          
amestribnews-2023              0.8670               307.4759           31.96                          66.56                          1.48                           0.00                          
nbcchicago-2023                0.8668               961.8844           39.19                          57.61                          1.26                           1.93                          
chesbayjournal-2023            0.8665               276.9323           60.95                          20.37                          8.54                           10.14                         
thenewmexican-2023             0.8664               817.5376           53.34                          33.01                          5.69                           7.96                          
rtenews-2023                   0.8662               696.7469           77.15                          2.73                           5.41                           14.71                         
brooklynpaper-2023             0.8662               304.5352           41.50                          53.60                          4.17                           0.73                          
hornelltribune-2023            0.8661               403.2638           48.53                          47.46                          1.19                           2.82                          
cjonline-2023                  0.8658               315.3418           40.23                          58.26                          1.51                           0.00                          
recordnet-2023                 0.8658               392.0129           46.68                          50.17                          2.94                           0.21                          
fremontnm-2023                 0.8655               249.1137           43.46                          51.05                          5.17                           0.32                          
eastbaytimes-2023              0.8652               832.0118           68.29                          13.78                          8.60                           9.33                          
timestelegram-2023             0.8648               406.5553           46.55                          48.30                          2.62                           2.53                          
newsleadernow-2023             0.8648               220.2364           52.93                          40.36                          2.09                           4.62                          
destinlog-2023                 0.8648               315.2605           37.17                          59.96                          2.43                           0.44                          
oregonian-2023                 0.8647               1072.1161          60.06                          29.99                          4.10                           5.85                          
hollandsentinel-2023           0.8646               384.8572           31.98                          67.29                          0.73                           0.00                          
trohio-2023                    0.8641               396.4494           35.58                          59.73                          4.48                           0.21                          
chilligaz-2023                 0.8641               240.9423           40.74                          54.97                          4.30                           0.00                          
bucyrustf-2023                 0.8640               244.4564           42.61                          52.54                          2.91                           1.94                          
romenewstribune-2023           0.8638               987.4338           70.50                          9.39                           7.71                           12.40                         
usnews-2023                    0.8638               1226.8022          76.33                          3.31                           4.15                           16.20                         
breakingnews_rs-2023           0.8635               396.7020           47.08                          48.96                          1.28                           2.68                          
billingsgazette-2023           0.8634               629.4805           66.51                          17.53                          4.75                           11.21                         
argusleader-2023               0.8631               276.1148           35.76                          58.24                          5.69                           0.30                          
abqjournal-2023                0.8628               760.6421           65.52                          21.56                          5.85                           7.07                          
mansfieldnj-2023               0.8627               277.3542           37.69                          59.51                          2.25                           0.55                          
recordpub-2023                 0.8625               383.6728           35.49                          62.92                          1.38                           0.21                          
poder360-2023                  0.8623               811.7328           40.36                          54.85                          2.09                           2.70                          
nwfdailynews-2023              0.8621               406.8811           46.20                          49.52                          1.55                           2.73                          
prensagrafica-2023             0.8617               611.3303           50.47                          40.20                          6.40                           2.93                          
scotnational-2023              0.8617               922.1805           67.28                          18.32                          1.89                           12.51                         
teamtrace-2023                 0.8617               367.5256           46.17                          45.82                          4.48                           3.52                          
gigharbornow-2023              0.8613               657.2207           28.64                          66.92                          2.25                           2.18                          
pcnewsherald-2023              0.8613               247.2589           42.06                          50.50                          7.11                           0.33                          
staradvertiser-2023            0.8609               2046.9359          62.41                          20.73                          5.80                           11.05                         
thedailyherald-2023            0.8606               369.3337           34.00                          62.47                          0.54                           2.99                          
staugrecord-2023               0.8606               386.8874           36.50                          60.78                          2.16                           0.56                          
diarioonline-2023              0.8602               722.2819           48.26                          44.02                          2.70                           5.02                          
alamogordonews-2023            0.8599               333.1478           43.61                          51.80                          1.48                           3.10                          
rtdnews-2023                   0.8599               603.6637           67.83                          16.47                          3.61                           12.09                         
recordonline-2023              0.8595               395.1684           45.48                          50.26                          1.34                           2.92                          
lanacion-2023                  0.8594               1286.0056          43.22                          49.88                          4.23                           2.67                          
ioniassnews-2023               0.8593               375.5946           32.50                          63.78                          2.80                           0.92                          
chicagotribune-2023            0.8592               978.9191           60.66                          23.59                          5.13                           10.61                         
whyynews-2023                  0.8592               38.1902            87.85                          0.00                           0.00                           12.15                         
wsbtv-2023                     0.8586               788.4613           52.84                          38.55                          4.64                           3.97                          
lubbockonline-2023             0.8586               381.0506           30.74                          65.54                          3.55                           0.17                          
bostonglobe-2023               0.8585               2003.0479          69.17                          10.86                          9.17                           10.79                         
kitsapsun-2023                 0.8582               353.8241           27.60                          70.47                          1.93                           0.00                          
owhnews-2023                   0.8579               604.6062           62.93                          21.95                          3.80                           11.33                         
gadsdentimes-2023              0.8575               407.6201           39.79                          54.70                          2.55                           2.95                          
theeveningsun-2023             0.8575               382.6727           45.52                          50.03                          0.23                           4.22                          
redstate-2023                  0.8573               753.8407           52.28                          38.74                          4.42                           4.55                          
lacrossetribune-2023           0.8568               615.6081           61.56                          21.18                          6.51                           10.75                         
yorkdispatch-2023              0.8568               354.9304           33.52                          63.81                          2.66                           0.00                          
the_news_herald-2023           0.8565               323.2314           45.44                          49.52                          1.45                           3.60                          
missoulian-2023                0.8564               613.4352           65.99                          17.01                          5.19                           11.81                         
journalstandard-2023           0.8562               325.2143           44.66                          49.88                          2.25                           3.21                          
usatoday-2023                  0.8560               930.6531           67.27                          16.16                          1.29                           15.28                         
newsday-2023                   0.8560               798.4062           63.81                          24.46                          2.66                           9.07                          
barnpat-2023                   0.8555               214.4414           44.67                          49.00                          0.41                           5.93                          
mlnow-2023                     0.8551               634.8309           39.50                          51.75                          4.89                           3.86                          
getfandom-2023                 0.8545               236.6582           75.28                          7.87                           0.00                           16.85                         
dbnewsjournal-2023             0.8545               377.8680           31.11                          66.38                          2.51                           0.00                          
pokjournal-2023                0.8544               328.6207           39.60                          55.95                          0.93                           3.52                          
towntalkdotcom-2023            0.8544               282.6420           42.86                          51.24                          2.32                           3.57                          
dailycomet-2023                0.8543               377.3625           37.82                          57.14                          1.86                           3.18                          
clarionledger-2023             0.8541               290.5896           43.89                          51.45                          0.52                           4.15                          
nbcphiladelphia-2023           0.8539               894.7108           36.67                          57.36                          2.52                           3.45                          
stamadvocate-2023              0.8538               1676.6171          51.82                          34.50                          3.81                           9.86                          
fayobserver-2023               0.8530               401.0925           36.53                          57.01                          3.81                           2.64                          
blaw-2023                      0.8528               548.6046           72.42                          7.45                           4.37                           15.76                         
sjrbreaking-2023               0.8526               399.4078           35.20                          60.05                          1.83                           2.92                          
petoskeynews-2023              0.8525               389.5690           27.80                          69.81                          2.40                           0.00                          
