Collections Similarity Summary (Weighted by Average Confidence)
======================================================================================================================================================
Total Collections Summarized: 1056

Collection Name                Avg Similarity       Total Confidence   High (>=0.90) Weight (%)       Medium (0.70-0.89) Weight (%)  Low (0.50-0.69) Weight (%)     Very Low (<0.50) Weight (%)   
nzstuff-2023                   0.8484               2575.4744          58.86                          20.29                          14.46                          6.39                          
qz-2023                        0.8444               756.3816           49.12                          37.84                          7.03                           6.02                          
cnbc-2023                      0.8416               1033.6210          36.03                          52.02                          6.09                           5.86                          
wplglocal10-2023               0.8412               1137.4922          41.68                          45.94                          6.92                           5.46                          
cnnbrasil-2023                 0.8388               1335.1775          56.09                          26.80                          8.84                           8.26                          
wfxl-2023                      0.8345               933.1220           63.48                          12.45                          8.85                           15.22                         
georgiastraight-2023           0.8313               705.1495           57.82                          21.66                          10.52                          10.00                         
gigharbornow-2023              0.8274               610.9711           30.18                          50.55                          12.04                          7.23                          
openvallejo-2023               0.8270               541.2862           45.34                          37.30                          10.22                          7.14                          
populardiario-2023             0.8267               1007.8239          15.79                          78.96                          5.04                           0.22                          
mtshastanews-2023              0.8249               380.6694           38.25                          44.48                          10.16                          7.11                          
khnews-2023                    0.8239               663.7682           40.45                          39.90                          12.18                          7.47                          
abc-2023                       0.8235               970.4392           55.79                          17.26                          15.08                          11.87                         
sowetanlive-2023               0.8232               776.1488           46.10                          36.30                          10.92                          6.68                          
discovermag-2023               0.8200               516.7307           28.35                          55.40                          9.12                           7.13                          
thesun-2023                    0.8175               1483.2157          50.14                          30.73                          8.32                           10.81                         
realdailywire-2023             0.8174               354.8770           32.23                          50.10                          7.57                           10.11                         
katvnews-2023                  0.8155               907.4238           55.78                          16.54                          14.17                          13.51                         
aldotcom-2023                  0.8111               928.9497           43.54                          31.51                          15.32                          9.63                          
cnet-2023                      0.8099               756.9224           30.60                          49.48                          13.74                          6.17                          
nhregister-2023                0.8094               1370.9741          39.03                          34.37                          17.38                          9.22                          
rgvfox-2023                    0.8087               226.5657           49.79                          23.08                          21.38                          5.76                          
huffpostcanada-2023            0.8074               846.9070           53.87                          19.24                          9.27                           17.62                         
tci_newsroom-2023              0.8072               348.7930           36.06                          43.31                          9.47                           11.15                         
motherjones-2023               0.8070               544.4933           32.87                          47.31                          13.35                          6.47                          
news3lv-2023                   0.8070               984.2008           53.86                          16.97                          13.59                          15.58                         
heraldscotland-2023            0.8066               755.2557           51.67                          19.93                          18.96                          9.44                          
galesburg-2023                 0.8066               398.1697           39.49                          41.17                          11.01                          8.32                          
gizmodo-2023                   0.8059               1154.2911          41.09                          34.08                          15.90                          8.93                          
progressindex-2023             0.8043               389.4279           32.73                          47.72                          10.41                          9.14                          
barnpat-2023                   0.8029               203.0683           40.58                          35.13                          14.37                          9.91                          
lancenet-2023                  0.8024               340.0890           17.79                          66.37                          9.40                           6.44                          
ewnreporter-2023               0.8010               783.4123           29.06                          47.69                          12.88                          10.38                         
townhallcom-2023               0.8005               1060.3399          29.68                          48.35                          17.18                          4.79                          
gftribune-2023                 0.8004               363.7869           38.88                          39.52                          11.60                          10.00                         
bfmtv-2023                     0.7989               1487.0771          47.59                          18.90                          26.40                          7.10                          
independent-2023               0.7987               521.0684           41.75                          31.55                          13.38                          13.31                         
echopilot-2023                 0.7984               397.4447           33.43                          44.10                          10.67                          11.80                         
novayagazeta_eu-2023           0.7981               649.2839           34.06                          48.68                          6.99                           10.27                         
hitribuneherald-2023           0.7955               667.1358           45.55                          22.29                          22.91                          9.25                          
knockdotla-2023                0.7931               194.0665           40.87                          35.57                          11.96                          11.61                         
scottishsun-2023               0.7926               1456.2067          37.86                          40.92                          9.77                           11.44                         
spectrumnews-2023              0.7918               281.3760           35.19                          38.74                          13.20                          12.87                         
metropoles-2023                0.7910               1631.7613          27.82                          48.34                          16.32                          7.53                          
connpost-2023                  0.7902               1455.4093          40.32                          25.62                          20.53                          13.53                         
portalimprensa-2023            0.7902               886.1650           13.14                          68.27                          8.53                           10.06                         
fdrlst-2023                    0.7896               836.3004           23.25                          53.42                          15.09                          8.24                          
recordpub-2023                 0.7896               377.9871           29.87                          48.85                          8.86                           12.43                         
destinlog-2023                 0.7888               301.6522           33.21                          39.07                          15.50                          12.22                         
theweek-2023                   0.7882               565.2427           34.31                          42.82                          7.65                           15.22                         
courier_tribune-2023           0.7881               341.9097           36.27                          37.22                          13.65                          12.86                         
lavanguardia-2023              0.7877               1312.2295          15.47                          66.42                          16.28                          1.82                          
vvdailypress-2023              0.7863               386.7742           34.21                          39.90                          13.69                          12.20                         
elperiodico-2023               0.7862               2492.2221          25.63                          51.41                          12.98                          9.98                          
salnews-2023                   0.7853               263.8532           33.96                          39.56                          14.90                          11.58                         
indiancountry-2023             0.7844               502.1429           44.98                          29.56                          9.11                           16.35                         
coloradosun-2023               0.7830               1010.0432          34.92                          36.37                          18.12                          10.59                         
apmreports-2023                0.7821               229.9713           21.02                          54.87                          18.49                          5.62                          
thewrap-2023                   0.7809               584.8084           33.34                          45.57                          11.65                          9.44                          
hellgateny-2023                0.7804               284.9858           51.93                          16.47                          9.22                           22.37                         
mvsnoticias-2023               0.7804               1618.9078          9.56                           74.51                          11.18                          4.74                          
mwtnews-2023                   0.7798               858.4134           40.95                          27.76                          15.20                          16.09                         
theblaze-2023                  0.7791               716.5603           24.47                          50.54                          16.64                          8.36                          
rnz_news-2023                  0.7786               769.7992           56.11                          7.75                           11.70                          24.45                         
enca-2023                      0.7780               247.9788           46.83                          20.90                          17.41                          14.87                         
nzherald-2023                  0.7780               1960.4902          19.36                          53.24                          21.61                          5.78                          
justthenews-2023               0.7779               1343.6827          38.09                          25.20                          28.76                          7.95                          
hiddencityphila-2023           0.7773               181.7895           41.70                          32.44                          14.02                          11.84                         
ajc-2023                       0.7760               1029.3621          41.73                          25.29                          19.14                          13.83                         
proceso-2023                   0.7756               792.1796           9.15                           72.10                          15.33                          3.42                          
pjstar-2023                    0.7755               375.9928           25.35                          46.19                          16.29                          12.18                         
bartlesvilleee-2023            0.7747               262.6557           33.26                          41.44                          13.49                          11.81                         
bctimes-2023                   0.7745               352.6375           18.95                          56.89                          14.20                          9.97                          
rawstory-2023                  0.7740               565.1440           24.15                          52.31                          9.99                           13.55                         
dailyamerican-2023             0.7734               410.8281           25.31                          49.75                          11.31                          13.62                         
objectivejrn-2023              0.7734               197.2206           53.98                          8.52                           12.58                          24.92                         
cjonline-2023                  0.7723               298.8264           31.34                          39.93                          12.95                          15.78                         
goerie-2023                    0.7721               389.0123           26.39                          46.17                          15.31                          12.13                         
wabenews-2023                  0.7719               408.1392           28.66                          40.75                          22.26                          8.33                          
lokpath-2023                   0.7719               55.7965            71.49                          0.72                           0.00                           27.79                         
abc3340-2023                   0.7717               987.1507           44.88                          19.56                          18.18                          17.38                         
cbcnews-2023                   0.7717               840.0702           28.24                          43.04                          15.69                          13.04                         
news12nj-2023                  0.7714               489.0104           56.37                          11.53                          9.90                           22.20                         
registerguard-2023             0.7713               383.2156           28.91                          44.77                          13.44                          12.88                         
fremontnm-2023                 0.7711               226.9092           29.98                          42.12                          14.18                          13.72                         
theeveningsun-2023             0.7707               368.1219           30.84                          44.33                          12.17                          12.66                         
asheville-2023                 0.7691               266.2601           29.32                          41.67                          14.85                          14.17                         
milenio-2023                   0.7688               1244.1992          24.43                          48.09                          18.50                          8.98                          
labornotes-2023                0.7685               220.1723           12.12                          69.83                          13.11                          4.95                          
vtdigger-2023                  0.7682               1269.4428          42.85                          19.66                          20.38                          17.12                         
cronistacom-2023               0.7681               1368.8929          30.95                          37.87                          18.64                          12.55                         
cprnews-2023                   0.7680               244.5003           3.63                           81.16                          14.58                          0.62                          
lanacion-2023                  0.7675               1192.6974          25.85                          44.11                          18.76                          11.28                         
okayplayer-2023                0.7674               258.9798           8.28                           71.79                          7.76                           12.17                         
wral-2023                      0.7669               1129.4320          35.76                          29.98                          20.30                          13.97                         
dailyecho-2023                 0.7665               735.7980           44.27                          18.67                          19.97                          17.09                         
petoskeynews-2023              0.7663               378.1104           15.58                          58.83                          15.54                          10.05                         
huffpost-2023                  0.7659               845.9087           51.29                          18.50                          9.29                           20.93                         
sjrbreaking-2023               0.7655               394.8625           28.62                          44.80                          10.03                          16.55                         
sputnikint-2023                0.7654               548.9607           23.18                          47.21                          16.38                          13.23                         
aberdeennews-2023              0.7653               268.4389           23.83                          49.24                          14.35                          12.59                         
bellingcat-2023                0.7651               395.3253           6.22                           76.34                          7.06                           10.37                         
jezebel-2023                   0.7646               539.3034           13.56                          63.40                          9.72                           13.31                         
clarionledger-2023             0.7643               283.2878           29.19                          41.86                          15.61                          13.34                         
mansfieldnj-2023               0.7639               260.5938           31.02                          40.82                          12.88                          15.28                         
enews-2023                     0.7635               735.4728           47.76                          19.16                          14.63                          18.46                         
stamadvocate-2023              0.7634               1464.5618          33.26                          29.67                          21.82                          15.25                         
juneauempire-2023              0.7633               684.7904           35.19                          24.02                          30.45                          10.34                         
aristeguionline-2023           0.7633               885.2583           2.94                           77.24                          10.23                          9.59                          
ocalastarbanner-2023           0.7631               354.6615           24.60                          44.66                          17.56                          13.18                         
tb_times-2023                  0.7629               477.6272           30.46                          32.88                          24.68                          11.98                         
siskiyou_daily-2023            0.7628               389.0002           31.34                          34.02                          20.11                          14.52                         
dailyjeff-2023                 0.7626               384.4722           26.26                          46.00                          13.74                          14.00                         
uolnoticias-2023               0.7623               903.4221           10.99                          64.22                          13.86                          10.94                         
timesrecord-2023               0.7618               388.9779           23.74                          49.69                          13.44                          13.13                         
recordonline-2023              0.7617               384.8061           26.00                          44.37                          15.10                          14.53                         
oregonian-2023                 0.7616               965.1712           34.94                          31.31                          17.83                          15.92                         
nypost-2023                    0.7613               1821.2296          35.12                          27.77                          23.56                          13.55                         
starnewsonline-2023            0.7612               400.4835           20.98                          55.75                          8.63                           14.64                         
le_parisien-2023               0.7608               1624.8284          32.04                          38.74                          15.05                          14.17                         
enterprisenews-2023            0.7604               364.0437           26.03                          45.91                          12.98                          15.08                         
flphoenixnews-2023             0.7604               295.6476           0.00                           75.29                          22.83                          1.88                          
prensagrafica-2023             0.7597               580.2298           19.85                          50.04                          22.20                          7.91                          
dailymirror-2023               0.7593               2046.6545          34.06                          31.29                          20.15                          14.50                         
thepupnews-2023                0.7590               202.9772           24.57                          46.36                          18.88                          10.19                         
blufftontoday-2023             0.7589               303.8602           31.04                          36.79                          15.35                          16.82                         
mtvnews-2023                   0.7585               129.6308           52.62                          19.38                          1.94                           26.07                         
umd_sbs-2023                   0.7584               516.0539           62.78                          10.63                          0.00                           26.59                         
venturebeat-2023               0.7583               524.7584           20.49                          46.54                          28.63                          4.34                          
epochtimes-2023                0.7580               3303.5877          27.28                          36.43                          24.30                          11.99                         
ldnews-2023                    0.7578               375.1771           32.25                          38.98                          11.07                          17.70                         
injusticewatch-2023            0.7573               274.8485           46.08                          12.43                          27.50                          13.99                         
dbnewsjournal-2023             0.7573               377.0715           22.77                          46.03                          18.64                          12.56                         
kitsapsun-2023                 0.7571               347.8648           27.46                          39.93                          17.57                          15.04                         
trohio-2023                    0.7560               360.7534           25.70                          45.14                          11.78                          17.38                         
chieftainnews-2023             0.7558               333.5974           25.64                          44.98                          14.47                          14.92                         
memphisnews-2023               0.7556               396.1460           22.44                          51.06                          9.71                           16.79                         
pagina12-2023                  0.7556               1787.5543          31.08                          35.42                          19.27                          14.23                         
theonion-2023                  0.7554               631.7800           32.47                          39.59                          9.93                           18.00                         
capecodtimes-2023              0.7537               405.3818           24.58                          42.95                          19.38                          13.09                         
fostersdailydem-2023           0.7536               377.3627           17.84                          52.62                          18.19                          11.36                         
seacoastonline-2023            0.7532               388.9087           15.45                          57.54                          14.63                          12.39                         
onlineathens-2023              0.7531               399.9679           23.58                          47.71                          14.98                          13.73                         
chilligaz-2023                 0.7529               231.6133           26.19                          40.68                          18.08                          15.06                         
greenvillenews-2023            0.7528               258.2083           27.48                          42.02                          13.69                          16.82                         
thebuffalonews-2023            0.7523               752.4016           0.11                           81.28                          13.00                          5.61                          
drudge-2023                    0.7519               303.1739           7.90                           66.97                          23.59                          1.54                          
newsleadernow-2023             0.7511               200.7065           27.86                          39.55                          18.90                          13.68                         
tauntontogo-2023               0.7508               360.3746           22.79                          49.75                          12.20                          15.27                         
pcnewsherald-2023              0.7501               228.5345           30.56                          35.67                          17.29                          16.48                         
lanuevaespana-2023             0.7500               1939.0222          9.48                           64.42                          22.09                          4.01                          
staugrecord-2023               0.7499               375.2479           28.26                          37.52                          17.86                          16.35                         
gainesvillesun-2023            0.7493               397.0788           27.31                          37.95                          16.86                          17.88                         
thenewsstar-2023               0.7492               268.2617           24.36                          39.45                          22.41                          13.78                         
nydailynews-2023               0.7489               325.5596           29.03                          33.62                          24.59                          12.76                         
timesgazette-2023              0.7488               386.1204           20.26                          52.44                          10.80                          16.49                         
jdnews-2023                    0.7481               295.7450           26.52                          39.87                          14.94                          18.67                         
therecordherald-2023           0.7480               362.9094           34.50                          28.68                          19.16                          17.65                         
semafor-2023                   0.7477               620.7891           37.91                          20.99                          26.19                          14.91                         
prisonjourn-2023               0.7475               334.6663           23.49                          49.90                          14.72                          11.90                         
norwichbulletin-2023           0.7469               394.3429           23.72                          44.73                          15.57                          15.98                         
publicopinionsd-2023           0.7467               286.1776           23.03                          45.54                          12.44                          18.99                         
nwfdailynews-2023              0.7461               390.1203           28.96                          36.37                          19.75                          14.91                         
vcstar-2023                    0.7461               400.9785           22.78                          45.09                          18.10                          14.03                         
observatorio-2023              0.7460               552.1582           20.80                          47.85                          24.69                          6.65                          
the_news_herald-2023           0.7456               306.9612           28.35                          35.80                          20.08                          15.76                         
whyynews-2023                  0.7454               81.6943            0.00                           86.56                          13.44                          0.00                          
hnnow-2023                     0.7453               370.5736           23.18                          45.36                          13.53                          17.94                         
oklahomawatch-2023             0.7452               284.9104           31.39                          34.93                          14.00                          19.68                         
kinstonfp-2023                 0.7451               303.0004           26.17                          43.42                          9.48                           20.93                         
journalstandard-2023           0.7450               318.7120           28.47                          37.00                          17.59                          16.94                         
salinajournal-2023             0.7446               309.0120           22.44                          42.69                          19.21                          15.66                         
times_mail-2023                0.7439               377.3801           24.33                          44.82                          13.78                          17.07                         
dailycomet-2023                0.7436               373.4367           25.15                          42.29                          14.86                          17.70                         
wnyt-2023                      0.7435               488.6096           27.28                          31.68                          27.45                          13.59                         
thedailytimes-2023             0.7434               402.8421           24.87                          43.07                          14.65                          17.42                         
newarkadvocate-2023            0.7428               284.0266           30.96                          38.20                          10.33                          20.51                         
fortunemagazine-2023           0.7427               1444.1748          13.30                          56.89                          19.76                          10.05                         
spacedotcom-2023               0.7427               381.4280           39.44                          27.01                          11.03                          22.52                         
thelasentinel-2023             0.7426               1160.8615          31.77                          23.93                          33.31                          10.99                         
fivethirtyeight-2023           0.7422               264.0012           21.02                          44.19                          21.96                          12.83                         
timesrecordnews-2023           0.7421               392.6240           26.66                          40.64                          16.59                          16.11                         
houmatoday-2023                0.7421               408.2259           26.91                          41.23                          10.53                          21.33                         
la_ser-2023                    0.7414               781.6318           33.59                          29.50                          18.55                          18.35                         
laprensaar-2023                0.7413               1095.1032          47.12                          16.51                          6.44                           29.93                         
goupstate-2023                 0.7412               312.3401           24.93                          41.32                          16.25                          17.51                         
dailyneb-2023                  0.7402               466.8553           0.00                           80.93                          16.16                          2.91                          
milforddaily-2023              0.7400               358.7462           25.48                          39.56                          18.91                          16.05                         
patriotledger-2023             0.7399               398.3176           23.26                          41.72                          19.52                          15.51                         
gadsdentimes-2023              0.7396               400.2886           27.12                          39.18                          14.95                          18.75                         
springfieldnl-2023             0.7394               271.5295           29.40                          32.37                          21.05                          17.18                         
deadspin-2023                  0.7391               697.8981           19.89                          49.09                          14.08                          16.94                         
thenewportdaily-2023           0.7391               357.8752           25.06                          42.80                          15.13                          17.01                         
knoxnews-2023                  0.7385               338.4956           20.77                          46.58                          15.77                          16.88                         
argusleader-2023               0.7379               259.3713           19.98                          42.97                          22.21                          14.85                         
diarioonline-2023              0.7375               707.4367           23.28                          40.41                          20.73                          15.57                         
abcnews-2023                   0.7371               1394.0628          44.24                          12.52                          16.85                          26.40                         
mydelmarvanow-2023             0.7365               371.9187           22.65                          45.80                          15.06                          16.49                         
newsweek-2023                  0.7358               1339.3004          36.56                          19.24                          22.29                          21.91                         
detroitnews-2023               0.7354               525.8328           21.63                          45.10                          16.41                          16.86                         
thegleanernews-2023            0.7354               318.6686           28.76                          37.31                          14.83                          19.10                         
ecledger-2023                  0.7354               356.2290           26.76                          38.73                          17.03                          17.49                         
timestelegram-2023             0.7351               393.5614           24.22                          40.38                          17.87                          17.52                         
hburgamerican-2023             0.7350               274.6230           25.13                          39.28                          17.14                          18.45                         
hollandsentinel-2023           0.7350               378.2932           21.07                          44.15                          16.74                          18.04                         
mdr_san-2023                   0.7345               684.6686           21.54                          48.42                          11.88                          18.16                         
theheraldtimes-2023            0.7341               383.9192           24.52                          39.11                          17.89                          18.48                         
